#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search =  tess2018319112539
#Sectors = S0005-S0005
#Created Date = 2019-02-27
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00014091633-01,14091633,1,1,6405,4.33513,5.5292,0.000111259,25.1121,3.68133,0.180078,11.822,0.066607,1.27738,18444.7,134.105,2.50957,1440.93,0.000311891,1.25478,0.950276,2.29244,3.14028,5,256.381,162.823,96.4433,1237.69,554.581
00014091704-01,14091704,1,1,6240.9,3.97,0.764982,2.75353e-005,12.8949,6.1541,0.0662809,2.00901,0.016809,1.78208,1966.67,46.6322,1.33726,1438.42,0.000518506,0.668628,0.989795,1.35841,-0.10833,34,137.99,35.8659,9.13348,2835.52,15277.4
00140940493-01,140940493,1,1,5516.25,4.50311,0.373533,3.29305e-005,2.06909,2.12953,0.0207247,3.53069,0.0100586,0.914511,442.113,51.2627,0.60769,1438.03,0.00108605,0.0249039,0.712548,6.20142,0.24688,71,50.4828,7.68798,3.99651,2320.93,6857.52
00140968117-01,140968117,1,1,4391,2.10155,12.312,0.00244985,45.8167,8.94663,0.0360553,10.8078,0.0892334,11.64,1618.07,156.973,9.02993,1442.46,0.0013895,0.315146,0.00999983,5.11214,7.00139,2,92.5071,27.8747,34.1373,2212.93,5667.53
00141028198-01,141028198,1,1,8192,4.09456,13.4692,0.00713875,21.7292,22.6402,0.0946244,8.68048,0.139807,2.10348,4078.65,433.036,5.57236,1444.05,0.00505851,2.78618,0.990105,2.8545,8.30833,2,1.41766,8.78806,7.57632,1402.13,913.415
00141126559-01,141126559,1,3,7427,4.13643,0.77666,-1,13.9747,-1,0.0693633,12.6493,0.0197481,1.84548,257745,0,0.5,1438.72,-1,0.0328028,0.1,336.217,-0.06042,0,93.4773,44.17,11.3944,3168.09,23807.3
00141126559-02,141126559,2,3,7427,4.13643,0.776758,5.17904e-005,19.1078,24.8901,0.0948417,3.70478,0.0197498,1.84548,4046.31,443.402,0.778971,1438.27,0.000933728,0.389486,0.990105,3.78946,0.06458,34,10.1108,7.78941,3.13433,3167.96,23803.3
00141126559-03,141126559,3,3,7427,4.13643,0.776795,3.10221e-005,21.9378,40.0881,0.108888,5.47401,0.0197504,1.84548,5239.96,446.286,0.55118,1438.33,0.000739602,0.27559,0.990105,4.85728,0.0625,34,18.7218,7.19861,2.6367,3167.91,23801.8
00141268467-01,141268467,1,2,6435,3.98035,2.09026,-1,25.9539,-1,0.123024,17.8736,0.0349525,1.93246,0,0,1,1439.35,-1,0.110647,0.1,48.4515,-0.11806,0,49594,608.366,261.047,2111.33,4696.2
00141268467-02,141268467,2,2,6435,3.98035,2.09068,9.48804e-005,118.732,30.3718,0.562799,2.01345,0.0349573,1.93246,161546,1614.33,12.4847,1439.35,0.000608829,6.24235,0.924395,79.7577,-0.3125,13,231.153,102.666,45.7533,2111.19,4694.92
