#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018292093540
#Sectors = S0004-S0004
#Created Date = 2019-02-13
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00141685465-02,141685465,2,2,5379,4.42434,7.80744,0.000179434,24.808,24.8081,0.231519,10.7746,0.075314,0.981527,56527,278.233,5.84156,1412.28,0.000378819,1.74406,0.640742,8.2446,-0.60139,4,575.65,185.168,119.398,856.854,127.394
00141712167-01,141712167,1,1,5875,4.32736,16.4815,0.00565933,3.19553,3.3029,0.0249729,20.6694,0.129495,1.17212,711.62,90.7673,5.89234,1417.05,0.0040285,0.161982,0.34037,4.78173,-3.05278,2,0.10988,8.05126,5.79975,779.935,87.449
00141806292-01,141806292,1,1,6062,4.16066,3.22508,0.000991533,10.4654,12.5181,0.0654748,2.65078,0.044544,1.46413,1875.7,148.68,3.96091,1412.69,0.00455117,1.98046,0.990105,2.7199,1.74583,8,7.65718,12.0194,7.36467,1533.57,1307.18
00141807839-01,141807839,1,3,3474,4.438,13.4629,0.00267759,19.5635,36.8705,0.179202,35.1051,0.11081,1,13186.3,1302.63,1.87728,1415.99,0.00192146,0.938641,0.990105,9.26438,0.57917,2,177.765,29.034,31.8733,460.502,10.6279
00141807839-02,141807839,2,3,3474,4.438,14.7078,0.00198373,9.90936,0.935947,0.0907701,44.8171,0.11754,1,9817.47,1220.26,2.73478,1415.43,0.00140626,0.227634,0.00999983,8.96389,-0.45833,2,4.85168,13.583,15.6382,447.125,9.44572
00141807839-03,141807839,3,3,3474,4.438,15.3673,0.00234158,8.88695,1.51655,0.0814048,75.6639,0.121029,1,7895.23,957.18,1.67779,1416.13,0.0019669,0.126329,0.0140956,9.20158,-1.83194,2,6.17965,11.4015,12.2876,440.634,8.90907
00141809359-01,141809359,1,1,4695,4.53314,10.0123,0.000824788,12.1488,1.46399,0.143325,16.5682,0.0826602,0.776443,22653.1,460.945,4.54663,1413.2,0.00114904,0.822638,0.582752,17.9842,2.24167,3,391.252,37.9534,35.2863,634.942,38.4111
00141865875-01,141865875,1,2,7365,4.438,0.357128,2.16861e-005,3.23364,0.862386,0.0158834,2.61376,0.0149326,1.86486,232.012,30.8211,0.541018,1411.09,0.000657338,0.0400074,0.893219,7.47716,0.17796,73,39.5881,7.28247,3.83876,3631.78,41115
00141865875-02,141865875,2,2,7365,4.438,0.223088,1.51559e-005,2.78456,1.66415,0.0136775,3.49112,0.010912,1.86486,209.248,26.0691,0.502058,1411.01,0.000547408,0.00696939,0.00999983,4.77945,0.09063,116,59.5627,8.17842,3.31534,4248.5,76995.3
00141914082-01,141914082,1,1,4260,4.438,10.9208,-1,3.02734,-1,0.0285508,24.4086,0.0945265,0.971274,1011.03,-1,3.5,1417.1,-1,0.0981613,0.1,5.83822,-2.55972,2,17.061,15.2262,17.4153,602.553,31.1532
00141975926-01,141975926,1,1,3340,4.438,10.5026,0.00225602,11.6024,0.559167,0.106278,16.3029,0.0939046,1,13456.1,1064.24,5.44846,1416.54,0.0017225,0.524061,0.00999983,5.4933,1.19444,2,1.50889,17.1258,12.89,480.945,12.6445
00141980517-01,141980517,1,1,4674,2.15148,12.8565,0.00425021,55.1637,11.0297,0.0421601,8.9025,0.0973113,11.9853,1557.16,201.119,6.30822,1417.13,0.00307195,0.973178,0.873355,3.4138,8.28194,2,24.1254,19.3284,23.8968,2288.88,6486.56
00142015852-01,142015852,1,1,3675,4.438,17.8253,0.00415105,5.97081,1.20193,0.0546929,39.7294,0.133612,1,3567.87,505.041,3.6153,1413.58,0.00302101,0.187533,0.00999983,2.83151,3.50417,2,0.00692,8.37477,6.12394,443.635,9.1543
