#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018235142541 
#Sectors = s0002-s0002
#Created Date = 2018-12-11
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00013092260-01,13092260,1,3,7855,4.10739,13.2453,0.000159676,54.9848,7.99315,0.251458,16.1519,0.135137,2.00297,50106.6,102.564,5.75543,1358.35,0.000112636,2.87772,0.851687,27.1185,6.62222,2,60.0581,598.253,430.334,1334.41,749.328
00013092260-02,13092260,2,3,7855,4.10739,13.2446,0.0024472,19.3516,10.159,0.0884995,7.90365,0.135133,2.00297,3286.14,77.4247,5.66289,1364.97,0.00171407,2.83144,0.996227,3.90338,1.37222,2,0.06562,39.1181,28.0494,1334.43,749.377
00013092260-03,13092260,3,3,7855,4.10739,9.67428,0.00308807,4.01563,1.38416,0.0183644,12.1242,0.109601,2.00297,375.997,52.1977,6.13983,1356.69,0.00388575,0.113761,0.158272,3.03289,5.01111,3,2.34489,7.278,5.4318,1481.73,1139.19
00013137474-01,13137474,1,1,3488,4.438,13.37,0.00341589,1.7522,0.60714,0.0160502,16.1823,0.1103,1,302.314,38.9784,6.17057,1366.11,0.002329,0.10571,0.279376,4.43539,5.12778,2,0.0819,9.97409,7.17069,463.425,10.9004
00137772485-01,137772485,1,1,5085,4.48076,13.8497,0.00438482,3.39736,4.14623,0.0353976,37.1689,0.107089,0.879156,1513.14,211.361,2.94757,1359.27,0.00326212,0.100804,0.0105826,3.18248,9.56944,2,12.5078,12.4584,13.2325,642.899,40.373
00139285669-01,139285669,1,1,3260,4.438,1.04681,0.00027236,11.7892,1.46036,0.107989,3.09885,0.0201868,1,13889.9,1919.38,2.92356,1354.44,0.00356648,0.294592,0.0212398,7.73297,0.34861,26,9.861,8.06528,3.30617,1012.45,248.327
00140579674-01,140579674,1,1,5204,4.56867,13.7417,0.00418809,4.02491,1.64336,0.0455331,33.8774,0.107884,0.809704,2484.95,351.786,3.22708,1361.77,0.00291996,0.141798,0.0947055,3.31993,9.38472,2,2.42691,10.101,9.84753,629.092,37.015
00140609384-01,140609384,1,1,5925.5,4.26541,9.37324,0.00543721,6.0561,0.954412,0.0438001,7.27972,0.0892542,1.26653,1513.28,273.855,4.22987,1361.63,0.00714541,1.71997,0.95288,3.7294,6.92917,3,0.0015,7.32186,5.97548,984.941,222.414
00140635111-01,140635111,1,1,7479,3.45422,19.2053,0.0274334,52.0842,64.5177,0.117158,3.84467,0.168292,4.07222,5609.15,496.743,19.8826,1360.3,0.0193767,9.94131,0.998214,3.63268,-1.52778,2,1.61062,8.32343,6.51136,1623.38,1641.34
00140659980-01,140659980,1,2,5642.4,3,9.43954,0.000158633,69.9118,15.0445,0.306334,15.3269,0.0474195,2.09051,39048.1,18647.7,3.96517,1356.6,0.000198492,1.98258,0.999999,132.08,4.46944,3,6.5116,293.943,199.791,1653.12,1764.96
00140659980-02,140659980,2,2,5642.4,3,9.43998,0.00030357,54.808,11.4436,0.240154,10.4016,0.047421,2.09051,24024.4,151.313,5.13864,1361.06,0.000389214,2.56932,0.997309,4.22707,0.61389,3,25.5082,170.82,101.8,1653.09,1764.85
00140940493-01,140940493,1,2,5516.25,4.50311,0.248967,1.87481e-005,1.79405,1.47785,0.0179698,3.67922,0.00767501,0.914511,366.841,46.1786,0.488786,1354.14,0.000834576,0.0106146,0.41585,9.07838,0.12396,111,56.1367,7.49665,2.33737,2657,11778.3
00140940493-02,140940493,2,2,5516.25,4.50311,0.248884,3.02548e-005,2.88725,1.16072,0.0289196,1.08407,0.0076733,0.914511,507.142,100.254,1.40678,1354.27,0.00175303,0.703389,0.980591,2.03006,0.16452,110,110.115,9.17511,3.40638,2657.29,11783.6
00141096071-01,141096071,1,1,4176,4.58996,1.57096,0.000180973,3.09081,3.32965,0.0416992,14.7577,0.0229692,0.678956,1786.26,221.213,0.617217,1355.41,0.00168233,0.048693,0.714801,6.18954,0.85374,17,5.38478,8.75438,3.48327,1001.84,238.079
00141268467-01,141268467,1,2,6435,3.98035,2.09028,-1,68.3835,-1,0.324144,7.07031,0.0349528,1.93246,484322,0,3,1355.73,-1,0.743974,0.1,2.29152,1.44305,0,106990,10703.4,3206.02,2111.32,4696.14
00141268467-02,141268467,2,2,6435,3.98035,2.09028,-1,10.5502,-1,0.050009,2.31159,0.0349528,1.93246,2853.06,-1,7.5,1355.52,-1,0.38517,0.1,8.08048,0.6625,13,4.35259,296.634,120.658,2111.32,4696.14
00141334293-01,141334293,1,1,3137,4.438,23.7617,0.00422971,13.3573,0.773619,0.122353,38.5255,0.161835,1,17825.4,1278.15,5.28745,1356.61,0.00283932,0.576931,0.0279406,1.72563,-1.7,2,1.26773,16.4367,12.6173,344.088,3.31284
